date,year,month,day,day_of_week,day_name,week_of_year,quarter,is_public_holiday,is_school_holiday,temperature,precipitation,weather_type,special_exhibition,local_event,marketing_campaign,ticket_promotion,ticket_price,visitors_last_week,visitors_last_2weeks,visitors_last_month,visitors_7day_avg,visitors_14day_avg,visitors_30day_avg,visitors_same_day_last_year,visitors
2023-01-01,2023,1,1,6,Sunday,52,1,1,0,20.6,0.7,Cloudy,0,0,1,0,25,381.69880624426077,380.6275415896488,379.10787992495307,931.0,931.0,931.0,380.9425444596443,931
2023-01-02,2023,1,2,0,Monday,1,1,1,0,21.7,1.5,Cloudy,0,0,0,0,25,381.69880624426077,380.6275415896488,379.10787992495307,677.0,677.0,677.0,380.9425444596443,423
2023-01-03,2023,1,3,1,Tuesday,1,1,0,0,14.2,2.4,Cloudy,0,0,0,0,25,381.69880624426077,380.6275415896488,379.10787992495307,523.3333333333334,523.3333333333334,523.3333333333334,380.9425444596443,216
2023-01-04,2023,1,4,2,Wednesday,1,1,0,0,17.4,4.6,Cloudy,0,0,0,0,25,381.69880624426077,380.6275415896488,379.10787992495307,460.5,460.5,460.5,380.9425444596443,272
2023-01-05,2023,1,5,3,Thursday,1,1,0,0,18.6,3.1,Cloudy,0,0,0,0,25,381.69880624426077,380.6275415896488,379.10787992495307,417.6,417.6,417.6,380.9425444596443,246
2023-01-06,2023,1,6,4,Friday,1,1,0,0,18.9,2.3,Cloudy,0,0,1,1,20,381.69880624426077,380.6275415896488,379.10787992495307,420.6666666666667,420.6666666666667,420.6666666666667,380.9425444596443,436
2023-01-07,2023,1,7,5,Saturday,1,1,0,0,26.9,2.3,Cloudy,0,0,0,0,25,381.69880624426077,380.6275415896488,379.10787992495307,426.14285714285717,426.14285714285717,426.14285714285717,380.9425444596443,459
2023-01-08,2023,1,8,6,Sunday,1,1,0,0,23.3,5.8,Rainy,0,0,0,0,25,931.0,380.6275415896488,379.10787992495307,338.14285714285717,412.25,412.25,380.9425444596443,315
2023-01-09,2023,1,9,0,Monday,2,1,0,0,14.9,0.7,Cloudy,0,0,0,0,25,423.0,380.6275415896488,379.10787992495307,313.14285714285717,394.0,394.0,380.9425444596443,248
2023-01-10,2023,1,10,1,Tuesday,2,1,0,0,21.7,0.0,Sunny,0,0,0,0,25,216.0,380.6275415896488,379.10787992495307,341.42857142857144,396.0,396.0,380.9425444596443,414
2023-01-11,2023,1,11,2,Wednesday,2,1,0,0,23.0,0.6,Cloudy,0,0,0,0,25,272.0,380.6275415896488,379.10787992495307,355.7142857142857,393.8181818181818,393.8181818181818,380.9425444596443,372
